date,metric,value,baseline,z_score,pct_change,severity,direction,reason,method,evidence
2024-01-10,Revenue,11880.75,11086.051,0.23339873771755537,1.1217860453154889,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.188e+04, baseline=1.109e+04, z=0.23, pct_change=112.2%"
2024-01-12,Revenue,8188.66,10817.875,-0.8240668743029463,-0.239348909880143,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=8189, baseline=1.082e+04, z=-0.82, pct_change=-23.9%"
2024-01-13,Revenue,9771.55,10737.388461538461,-0.31476334430040365,0.19330268932890116,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=9772, baseline=1.074e+04, z=-0.31, pct_change=19.3%"
2024-01-15,Revenue,14116.61,10932.233333333334,1.069797580504993,0.37309889075211755,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.412e+04, baseline=1.093e+04, z=1.07, pct_change=37.3%"
2024-01-16,Revenue,11976.95,10997.528125,0.33919130976084166,-0.15157038410779922,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.198e+04, baseline=1.1e+04, z=0.34, pct_change=-15.2%"
2024-01-20,Revenue,17891.65,11223.214,2.20010951513884,0.9123285182156808,HIGH,UP,|z| >= 2.0; |pct_change| >= 30%,RULES,"Revenue=1.789e+04, baseline=1.122e+04, z=2.20, pct_change=91.2%"
2024-01-21,Revenue,9460.38,11139.269523809524,-0.5635462583370431,-0.4712404948677177,HIGH,DOWN,|pct_change| >= 30%,RULES,"Revenue=9460, baseline=1.114e+04, z=-0.56, pct_change=-47.1%"
2024-01-22,Revenue,12168.23,11186.040454545455,0.33687174618799165,0.28623057424754617,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.217e+04, baseline=1.119e+04, z=0.34, pct_change=28.6%"
2024-01-24,Revenue,12778.27,11231.492083333333,0.550994805882328,0.19594652141155788,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.278e+04, baseline=1.123e+04, z=0.55, pct_change=19.6%"
2024-01-25,Revenue,8312.67,11114.7392,-0.9973702358562859,-0.3494682770046337,HIGH,DOWN,|pct_change| >= 30%,RULES,"Revenue=8313, baseline=1.111e+04, z=-1.00, pct_change=-34.9%"
2024-01-27,Revenue,13867.6,11099.253333333334,0.980977256941107,0.7457224286735753,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.387e+04, baseline=1.11e+04, z=0.98, pct_change=74.6%"
2024-01-29,Revenue,9499.43,11153.603103448275,-0.5906407392220674,-0.33455106120956446,HIGH,DOWN,|pct_change| >= 30%,RULES,"Revenue=9499, baseline=1.115e+04, z=-0.59, pct_change=-33.5%"
2024-01-30,Revenue,13742.33,11239.894,0.8962164047364813,0.44664785150266906,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.374e+04, baseline=1.124e+04, z=0.90, pct_change=44.7%"
2024-01-31,Revenue,8424.99,11120.641,-0.9509803617934065,-0.38693147377482573,HIGH,DOWN,|pct_change| >= 30%,RULES,"Revenue=8425, baseline=1.112e+04, z=-0.95, pct_change=-38.7%"
2024-02-01,Revenue,12368.81,11031.336333333333,0.4868020579866065,0.4681097544329429,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.237e+04, baseline=1.103e+04, z=0.49, pct_change=46.8%"
2024-02-03,Revenue,17501.55,11368.007000000001,2.0524858507939365,0.3411252193503398,HIGH,UP,|z| >= 2.0; |pct_change| >= 30%,RULES,"Revenue=1.75e+04, baseline=1.137e+04, z=2.05, pct_change=34.1%"
2024-02-07,Revenue,10751.16,11580.110000000002,-0.29809824921871647,-0.17559661195263598,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=1.075e+04, baseline=1.158e+04, z=-0.30, pct_change=-17.6%"
2024-02-08,Revenue,12642.47,11814.878666666666,0.32507564054440014,0.1759168313000643,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.264e+04, baseline=1.181e+04, z=0.33, pct_change=17.6%"
2024-02-10,Revenue,16772.75,11981.147999999997,1.7742376859969704,0.5442516211062836,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.677e+04, baseline=1.198e+04, z=1.77, pct_change=54.4%"
2024-02-11,Revenue,12138.7,12112.815999999999,0.009940331796131819,-0.2762844494790657,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.214e+04, baseline=1.211e+04, z=0.01, pct_change=-27.6%"
2024-02-12,Revenue,15141.09,12291.800666666668,1.0867116486880386,0.24734032474647205,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.514e+04, baseline=1.229e+04, z=1.09, pct_change=24.7%"
2024-02-13,Revenue,12419.53,12363.090333333332,0.02175522833558971,-0.17974663647069,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.242e+04, baseline=1.236e+04, z=0.02, pct_change=-18.0%"
2024-02-17,Revenue,15290.75,12557.298,1.0573600047160483,0.24306248257237084,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.529e+04, baseline=1.256e+04, z=1.06, pct_change=24.3%"
2024-02-18,Revenue,9709.63,12569.087333333333,-1.1122697731840065,-0.36499975475369106,HIGH,DOWN,|pct_change| >= 30%,RULES,"Revenue=9710, baseline=1.257e+04, z=-1.11, pct_change=-36.5%"
2024-02-21,Revenue,14184.97,12443.513,0.7345743918614235,0.23580003084061563,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.418e+04, baseline=1.244e+04, z=0.73, pct_change=23.6%"
2024-02-23,Revenue,17413.65,12656.639666666666,1.8930608748979076,0.3994657267057087,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.741e+04, baseline=1.266e+04, z=1.89, pct_change=39.9%"
2024-02-24,Revenue,11921.38,12776.93,-0.3593770458824407,-0.31540027507156754,HIGH,DOWN,|pct_change| >= 30%,RULES,"Revenue=1.192e+04, baseline=1.278e+04, z=-0.36, pct_change=-31.5%"
2024-03-02,Revenue,13973.95,12740.727333333334,0.5705578815102251,0.49649435251810115,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.397e+04, baseline=1.274e+04, z=0.57, pct_change=49.6%"
2024-03-05,Revenue,11594.75,12625.474666666667,-0.502999478812789,-0.20729197717061054,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=1.159e+04, baseline=1.263e+04, z=-0.50, pct_change=-20.7%"
2024-03-06,Revenue,14714.6,12665.293666666666,0.985938024177865,0.2690743655533754,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.471e+04, baseline=1.267e+04, z=0.99, pct_change=26.9%"
2024-03-08,Revenue,10915.73,12733.305333333332,-0.8601956051861068,-0.2682316456748445,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=1.092e+04, baseline=1.273e+04, z=-0.86, pct_change=-26.8%"
2024-03-10,Revenue,11488.42,12644.609666666665,-0.5286897579454669,0.22810513341578842,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=1.149e+04, baseline=1.264e+04, z=-0.53, pct_change=22.8%"
2024-03-11,Revenue,9241.65,12393.573000000002,-1.4810663456463902,-0.19556823305554638,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=9242, baseline=1.239e+04, z=-1.48, pct_change=-19.6%"
2024-03-13,Revenue,13501.47,12258.021333333334,0.5837225512108162,0.3902172312565062,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.35e+04, baseline=1.226e+04, z=0.58, pct_change=39.0%"
2024-03-16,Revenue,15500.14,12338.241666666667,1.43064949666629,0.20566142377216168,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.55e+04, baseline=1.234e+04, z=1.43, pct_change=20.6%"
2024-03-17,Revenue,12447.93,12343.143666666667,0.047410527947943114,-0.19691499560649128,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.245e+04, baseline=1.234e+04, z=0.05, pct_change=-19.7%"
2024-03-23,Revenue,15624.41,12561.102333333334,1.4536337916700306,0.27572030909114664,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.562e+04, baseline=1.256e+04, z=1.45, pct_change=27.6%"
2024-03-24,Revenue,11725.88,12371.51,-0.33953264124027277,-0.24951534169930256,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=1.173e+04, baseline=1.237e+04, z=-0.34, pct_change=-25.0%"
2024-03-26,Revenue,14467.44,12466.279,1.0368825046717396,0.286946435052412,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.447e+04, baseline=1.247e+04, z=1.04, pct_change=28.7%"
2024-03-30,Revenue,16021.49,12766.032333333333,1.6623522912871211,0.21548868039186364,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.602e+04, baseline=1.277e+04, z=1.66, pct_change=21.5%"
2024-03-31,Revenue,11593.97,12841.238333333335,-0.6694375698281253,-0.27634882897907753,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=1.159e+04, baseline=1.284e+04, z=-0.67, pct_change=-27.6%"
2024-04-01,Revenue,16836.18,12936.646,1.9576057046224227,0.45214969505699965,HIGH,UP,|pct_change| >= 30%,RULES,"Revenue=1.684e+04, baseline=1.294e+04, z=1.96, pct_change=45.2%"
2024-04-02,Revenue,11844.62,12804.746333333334,-0.49859915942256955,-0.2964781797296061,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=1.184e+04, baseline=1.28e+04, z=-0.50, pct_change=-29.6%"
2024-04-03,Revenue,9874.34,12646.332333333334,-1.4102132726678964,-0.16634387595380862,MEDIUM,DOWN,|pct_change| >= 15%,RULES,"Revenue=9874, baseline=1.265e+04, z=-1.41, pct_change=-16.6%"
2024-04-07,Revenue,14101.34,12525.239,0.8256532678528471,0.1532470633841232,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.41e+04, baseline=1.253e+04, z=0.83, pct_change=15.3%"
2024-04-09,Revenue,15754.93,12771.102,1.5819788934843113,0.2640378627355491,MEDIUM,UP,|pct_change| >= 15%,RULES,"Revenue=1.575e+04, baseline=1.277e+04, z=1.58, pct_change=26.4%"
