date,channel,revenue,orders,spend_channel_gbp,cac_proxy_channel
2024-01-01,Affiliates,1050.99,16,151.67,9.48
2024-01-01,Email,1695.85,16,217.53,13.6
2024-01-01,Organic,2510.97,36,492.94,13.69
2024-01-01,Paid Search,3772.13,50,672.55,13.45
2024-01-01,Paid Social,2972.64,35,461.0,13.17
2024-01-02,Affiliates,1283.94,15,180.83,12.06
2024-01-02,Email,2130.98,30,247.72,8.26
2024-01-02,Organic,2782.89,40,532.59,13.31
2024-01-02,Paid Search,5324.07,70,857.1,12.24
2024-01-02,Paid Social,3526.07,54,658.93,12.2
2024-01-03,Affiliates,322.14,8,126.88,15.86
2024-01-03,Email,1567.5800000000002,19,200.14,10.53
2024-01-03,Organic,1877.91,25,452.11,18.08
2024-01-03,Paid Search,3265.54,44,584.35,13.28
2024-01-03,Paid Social,2426.96,25,423.52,16.94
2024-01-04,Affiliates,880.45,14,123.92,8.85
2024-01-04,Email,763.68,12,157.41,13.12
2024-01-04,Organic,2548.84,38,391.85,10.31
2024-01-04,Paid Search,3246.58,51,584.43,11.46
2024-01-04,Paid Social,3551.65,45,416.97,9.27
2024-01-05,Affiliates,322.64,6,160.02,26.67
2024-01-05,Email,951.81,10,235.92,23.59
2024-01-05,Organic,887.4300000000001,16,498.52,31.16
2024-01-05,Paid Search,2379.01,39,672.9,17.25
2024-01-05,Paid Social,1272.19,16,484.16,30.26
2024-01-06,Affiliates,886.42,12,142.18,11.85
2024-01-06,Email,607.64,11,208.83,18.98
2024-01-06,Organic,4478.74,54,595.4,11.03
2024-01-06,Paid Search,3786.91,52,742.03,14.27
2024-01-06,Paid Social,3213.7,37,533.19,14.41
2024-01-07,Affiliates,1006.3100000000001,14,176.12,12.58
2024-01-07,Email,2360.2,24,250.91,10.45
2024-01-07,Organic,4626.9800000000005,57,620.03,10.88
2024-01-07,Paid Search,4140.95,66,784.09,11.88
2024-01-07,Paid Social,3751.1,49,581.43,11.87
2024-01-08,Affiliates,973.36,11,126.42,11.49
2024-01-08,Email,1188.26,17,157.25,9.25
2024-01-08,Organic,2577.0,35,414.7,11.85
2024-01-08,Paid Search,4053.54,52,494.87,9.52
2024-01-08,Paid Social,2414.3,31,348.41,11.24
2024-01-09,Affiliates,151.55,4,81.48,20.37
2024-01-09,Email,644.25,6,112.04,18.67
2024-01-09,Organic,993.8100000000001,17,284.06,16.71
2024-01-09,Paid Search,2428.71,32,384.78,12.02
2024-01-09,Paid Social,1381.09,19,269.35,14.18
2024-01-10,Affiliates,987.63,15,187.71,12.51
2024-01-10,Email,821.89,14,234.64,16.76
2024-01-10,Organic,2907.47,40,598.34,14.96
2024-01-10,Paid Search,3733.81,47,783.71,16.67
2024-01-10,Paid Social,3429.95,46,542.03,11.78
2024-01-11,Affiliates,537.59,7,115.15,16.45
2024-01-11,Email,654.13,8,169.43,21.18
2024-01-11,Organic,2564.07,39,419.46,10.76
2024-01-11,Paid Search,4110.43,56,516.52,9.22
2024-01-11,Paid Social,2899.11,38,424.4,11.17
2024-01-12,Affiliates,393.28,7,105.01,15.0
2024-01-12,Email,727.41,12,206.4,17.2
2024-01-12,Organic,2300.43,37,503.32,13.6
2024-01-12,Paid Search,3241.36,48,582.98,12.15
2024-01-12,Paid Social,1526.18,23,412.79,17.95
2024-01-13,Affiliates,502.94,8,119.43,14.93
2024-01-13,Email,1137.1100000000001,18,167.77,9.32
2024-01-13,Organic,1967.04,36,336.96,9.36
2024-01-13,Paid Search,3693.32,53,474.88,8.96
2024-01-13,Paid Social,2471.14,35,322.75,9.22
2024-01-14,Affiliates,283.13,5,190.8,38.16
2024-01-14,Email,1473.82,18,279.83,15.55
2024-01-14,Organic,1959.7,28,694.5,24.8
2024-01-14,Paid Search,3693.75,48,819.15,17.07
2024-01-14,Paid Social,2870.44,37,559.67,15.13
2024-01-15,Affiliates,810.27,10,150.26,15.03
2024-01-15,Email,1197.01,19,201.78,10.62
2024-01-15,Organic,3643.87,56,508.75,9.08
2024-01-15,Paid Search,3931.39,54,714.82,13.24
2024-01-15,Paid Social,4534.07,53,571.0,10.77
2024-01-16,Affiliates,745.6,12,130.09,10.84
2024-01-16,Email,1373.15,18,223.92,12.44
2024-01-16,Organic,3523.32,54,563.0,10.43
2024-01-16,Paid Search,3784.21,53,737.87,13.92
2024-01-16,Paid Social,2550.67,35,477.7,13.65
2024-01-17,Affiliates,724.55,14,155.51,11.11
2024-01-17,Email,1532.13,20,215.15,10.76
2024-01-17,Organic,3563.13,49,504.86,10.3
2024-01-17,Paid Search,2790.52,49,743.44,15.17
2024-01-17,Paid Social,1981.26,34,511.25,15.04
2024-01-18,Affiliates,582.2,10,100.33,10.03
2024-01-18,Email,921.54,14,123.78,8.84
2024-01-18,Organic,2332.6,34,338.76,9.96
2024-01-18,Paid Search,4697.51,65,423.46,6.51
2024-01-18,Paid Social,2130.79,30,316.61,10.55
2024-01-19,Affiliates,1235.8700000000001,15,114.18,7.61
2024-01-19,Email,986.48,11,156.16,14.2
2024-01-19,Organic,2067.01,29,404.68,13.95
2024-01-19,Paid Search,2192.23,40,544.06,13.6
2024-01-19,Paid Social,2874.36,37,460.1,12.44
2024-01-20,Affiliates,783.02,12,143.98,12.0
2024-01-20,Email,1774.51,22,206.84,9.4
2024-01-20,Organic,5039.56,62,575.9,9.29
2024-01-20,Paid Search,6388.26,84,604.29,7.19
2024-01-20,Paid Social,3906.3,59,496.82,8.42
2024-01-21,Affiliates,513.03,6,148.14,24.69
2024-01-21,Email,741.61,9,167.38,18.6
2024-01-21,Organic,2037.45,32,450.18,14.07
2024-01-21,Paid Search,3273.5299999999997,51,671.43,13.17
2024-01-21,Paid Social,2894.76,36,486.74,13.52
2024-01-22,Affiliates,897.81,13,123.45,9.5
2024-01-22,Email,1299.07,21,190.97,9.09
2024-01-22,Organic,3570.56,43,462.95,10.77
