customer_id,signup_date,country,segment
100000,2025-12-29,Germany,Mid-Market
100001,2025-02-12,United Kingdom,Mid-Market
100002,2024-01-29,Spain,SMB
100003,2025-10-18,France,Consumer
100004,2025-11-25,United Kingdom,SMB
100005,2024-07-22,Sweden,SMB
100006,2024-10-19,Germany,SMB
100007,2024-01-19,Germany,Consumer
100008,2025-08-08,United Kingdom,Consumer
100009,2025-07-21,United Kingdom,Mid-Market
100010,2024-01-16,United Kingdom,Consumer
100011,2025-05-28,Italy,SMB
100012,2024-10-28,Ireland,Consumer
100013,2025-02-02,Netherlands,SMB
100014,2024-06-08,United Kingdom,Mid-Market
100015,2025-08-19,United Kingdom,SMB
100016,2024-10-22,United Kingdom,Consumer
100017,2025-09-06,United Kingdom,Consumer
100018,2024-04-18,Netherlands,Mid-Market
100019,2025-03-05,Ireland,SMB
100020,2024-08-14,Germany,SMB
100021,2025-12-07,United Kingdom,Mid-Market
100022,2025-02-11,Sweden,SMB
100023,2025-06-10,Italy,SMB
100024,2024-03-04,Germany,Consumer
100025,2025-05-09,United Kingdom,Enterprise
100026,2024-03-14,United Kingdom,Consumer
100027,2024-09-21,United Kingdom,Mid-Market
100028,2024-06-11,United Kingdom,SMB
100029,2024-01-02,France,Mid-Market
100030,2025-03-04,Germany,SMB
100031,2024-06-25,Sweden,Enterprise
100032,2025-01-09,United Kingdom,Consumer
100033,2025-07-12,United Kingdom,SMB
100034,2024-05-10,United Kingdom,SMB
100035,2025-06-02,United Kingdom,Consumer
100036,2024-08-05,United Kingdom,Mid-Market
100037,2024-08-29,United Kingdom,Mid-Market
100038,2025-02-25,United Kingdom,Consumer
100039,2025-04-02,France,Mid-Market
100040,2025-04-24,United Kingdom,SMB
100041,2024-05-22,Netherlands,Consumer
100042,2025-02-27,France,Consumer
100043,2024-07-11,United Kingdom,SMB
100044,2024-07-21,Netherlands,SMB
100045,2025-11-23,Netherlands,Consumer
100046,2024-03-14,United Kingdom,Enterprise
100047,2024-10-29,United Kingdom,Mid-Market
100048,2024-11-17,France,Mid-Market
100049,2024-06-28,United Kingdom,Consumer
100050,2025-07-28,United Kingdom,Mid-Market
100051,2024-12-22,United Kingdom,SMB
100052,2025-06-09,Germany,SMB
100053,2024-10-09,France,Mid-Market
100054,2025-10-17,France,Consumer
100055,2025-06-17,Germany,Mid-Market
100056,2024-08-31,United Kingdom,Mid-Market
100057,2025-12-04,United Kingdom,Consumer
100058,2025-09-24,United Kingdom,Mid-Market
100059,2025-03-08,United Kingdom,Mid-Market
100060,2024-01-13,France,SMB
100061,2025-03-08,United Kingdom,Consumer
100062,2025-05-20,United Kingdom,Consumer
100063,2024-09-23,Germany,Consumer
100064,2024-04-15,Ireland,SMB
100065,2025-02-16,United Kingdom,Mid-Market
100066,2025-08-08,United Kingdom,SMB
100067,2024-08-21,United Kingdom,Consumer
100068,2024-11-29,United Kingdom,SMB
100069,2024-01-01,United Kingdom,Enterprise
100070,2025-05-29,United Kingdom,Consumer
100071,2025-09-25,United Kingdom,SMB
100072,2025-07-21,Spain,Mid-Market
100073,2024-11-09,United Kingdom,SMB
100074,2024-02-02,United Kingdom,Mid-Market
100075,2024-12-25,United Kingdom,Consumer
100076,2025-11-18,United Kingdom,Mid-Market
100077,2024-03-02,France,Consumer
100078,2024-06-05,United Kingdom,SMB
100079,2025-09-03,Germany,Mid-Market
100080,2025-02-19,France,Consumer
100081,2024-05-04,United Kingdom,Consumer
100082,2024-01-18,Netherlands,SMB
100083,2024-10-27,United Kingdom,Consumer
100084,2025-03-10,United Kingdom,Consumer
100085,2025-09-06,United Kingdom,Consumer
100086,2025-10-08,France,Enterprise
100087,2024-11-30,United Kingdom,SMB
100088,2024-11-04,United Kingdom,SMB
100089,2025-11-11,United Kingdom,Enterprise
100090,2025-07-21,United Kingdom,Mid-Market
100091,2024-06-02,France,SMB
100092,2025-05-13,United Kingdom,SMB
100093,2025-06-06,United Kingdom,Mid-Market
100094,2024-06-19,United Kingdom,Mid-Market
100095,2025-12-15,Ireland,Mid-Market
100096,2024-08-04,United Kingdom,Mid-Market
100097,2025-02-05,United Kingdom,SMB
100098,2024-12-26,United Kingdom,Consumer
100099,2025-05-20,Sweden,Enterprise
100100,2025-10-21,Italy,SMB
100101,2024-10-14,France,Mid-Market
100102,2024-10-08,United Kingdom,Mid-Market
